date,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,PCT_CHG,VOLUME,AMT,PE_TTM,PB_LF,MKT_CAP_ARD,TOTAL_SHARES,FLOAT_A_SHARES,FREE_FLOAT_SHARES
2004-02-26,1070.459,,,,1079.995,0.8908328109717262,,,27.018800735473633,2.995800018310547,1543218535398.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-27,1079.995,,,,1088.824,0.8175037847397608,,,27.16189956665039,3.0034000873565674,1555720046531.0002,213659768298.0,32015332029.0,31009220074.0
2004-03-01,1088.824,,,,1094.342,0.5067853023078136,,,27.340900421142578,3.007200002670288,1563368712295.0,213659768298.0,32015332029.0,31009220074.0
2004-03-02,1094.342,,,,1093.491,-0.07776362416868883,,,27.43160057067871,2.9964001178741455,1557019441627.0,213659768298.0,32015332029.0,31009220074.0
2004-03-03,1093.491,,,,1072.737,-1.89795800788483,,,27.248199462890625,2.9554998874664307,1535976467690.0,213659768298.0,32015332029.0,31009220074.0
2004-03-04,1072.737,,,,1078.446,0.5321900894627325,,,27.28380012512207,2.959399938583374,1537981904116.0,213659768298.0,32015332029.0,31009220074.0
2004-03-05,1078.446,,,,1071.679,-0.6274769436763478,,,27.213199615478516,2.9519999027252197,1534274932381.0,213659768298.0,32015332029.0,31009220074.0
2004-03-08,1071.679,,,,1057.198,-1.3512441691961858,,,27.081199645996094,2.937700033187866,1526833530683.0,213659768298.0,32015332029.0,31009220074.0
2004-03-09,1057.198,,,,1061.256,0.38384484268793473,,,27.402799606323242,2.9725000858306885,1544964503443.0,213659768298.0,32015332029.0,31009220074.0
2004-03-10,1061.256,,,,1091.196,2.821185463262382,,,28.078100204467773,3.0550999641418457,1587804725836.0002,213659768298.0,32015332029.0,31009220074.0
2004-03-11,1091.196,,,,1095.664,0.40945897895520833,,,28.17650032043457,3.0657999515533447,1593370312218.9998,213659768298.0,32015332029.0,31009220074.0
2004-03-12,1095.664,,,,1099.181,0.32099256706436036,,,28.411699295043945,3.091399908065796,1606672794772.0,213659768298.0,32015332029.0,31009220074.0
2004-03-15,1099.181,,,,1131.778,2.965571639247765,,,29.32029914855957,3.1928999423980713,1660194235759.0,213659768298.0,32015332029.0,31009220074.0
2004-03-16,1131.778,,,,1135.674,0.3442371207074142,,,29.425500869750977,3.205399990081787,1666789397782.0,213659768298.0,32015332029.0,31009220074.0
2004-03-17,1135.674,,,,1135.27,-0.03557358889963109,,,29.124799728393555,3.188499927520752,1662757590536.0002,213659768298.0,32015332029.0,31009220074.0
2004-03-18,1135.27,,,,1111.95,-2.0541369013538575,,,28.610599517822266,3.1319000720977783,1634119254656.0002,213659768298.0,32015332029.0,31009220074.0
2004-03-19,1111.95,,,,1129.878,1.6123027114528425,,,29.281999588012695,3.205399990081787,1672463027971.0,213659768298.0,32015332029.0,31009220074.0
2004-03-22,1129.878,,,,1134.89,0.44358771477984094,,,29.392099380493164,3.217400074005127,1678753003713.0,213659768298.0,32015332029.0,31009220074.0
2004-03-23,1134.89,,,,1121.434,-1.1856655711126303,,,28.890199661254883,3.1624999046325684,1650085359229.0,213659768298.0,32015332029.0,31009220074.0
2004-03-24,1121.434,,,,1115.613,-0.5190675510105733,,,28.857799530029297,3.158900022506714,1648239247234.0,213659768298.0,32015332029.0,31009220074.0
2004-03-25,1115.613,,,,1115.34,-0.024470851451187662,,,28.65089988708496,3.1377999782562256,1637488322615.9998,213659768298.0,32015332029.0,31009220074.0
2004-03-26,1115.34,,,,1112.883,-0.22029157028349025,,,28.47249984741211,3.1180999279022217,1628380892462.0,213659768298.0,32015332029.0,31268220074.0
2004-03-29,1112.883,,,,1101.759,-0.9995659921123804,,,28.33650016784668,3.0634000301361084,1612962696476.0,213659768298.0,32015332029.0,31432383864.000004
2004-03-30,1101.759,,,,1101.371,-0.03521641302679805,,,28.41230010986328,3.069499969482422,1616529562080.0,213659768298.0,32015332029.0,31432383864.000004
2004-03-31,1101.371,,,,1108.641,0.6600863832441549,,,28.184900283813477,3.086199998855591,1631635463084.0,213724334720.0,32079898451.0,31432383864.000004
2004-04-01,1108.641,,,,1123.537,1.3436270172219824,,,28.526100158691406,3.1236000061035156,1651385124479.0,213724334720.0,32079898451.0,31432383864.000004
2004-04-02,1123.537,,,,1127.907,0.3889502526396452,,,28.624300003051758,3.1342999935150146,1657068877912.0,213888960707.0,32244524438.0,31432383864.000004
2004-04-05,1127.907,,,,1118.374,-0.8451937970063048,,,28.232500076293945,3.091399908065796,1634389850513.0,213888960707.0,32244524438.0,31432383864.000004
