,rp
2010-01-04,1
2010-01-05,1.0025201515020838
2010-01-06,1.0016749474597486
2010-01-07,1.0014116345854107
2010-01-08,1.0002804848496523
2010-01-11,1.0026782205127514
2010-01-12,1.00365290215189
2010-01-13,0.9989131065280061
2010-01-14,1.0006330407049955
2010-01-15,1.0008508057705516
2010-01-18,1.0014119916874267
2010-01-19,1.0024358310069053
2010-01-20,1.0009903866538366
2010-01-21,1.0000092108942182
2010-01-22,0.9987284671396415
2010-01-25,0.9989576229887426
2010-01-26,0.998112371172639
2010-01-27,0.9977394385567231
2010-01-28,0.9976662658718821
2010-01-29,0.9981904018848616
2010-02-01,0.9988260668626058
2010-02-02,1.0012476688735117
2010-02-03,1.0049148274271056
2010-02-04,1.0031753114926
2010-02-05,1.0006144995593798
2010-02-08,1.000950983807666
2010-02-09,1.001668148550242
2010-02-10,1.0029063225384516
2010-02-11,1.0035318012946117
2010-02-12,1.0048036649770442
2010-02-22,1.005519589289354
2010-02-23,1.0047546959996723
2010-02-24,1.0053100470619967
2010-02-25,1.0069306588260072
2010-02-26,1.0111485111616463
2010-03-01,1.0136873911779254
2010-03-02,1.014206649614825
2010-03-03,1.0172883873391991
2010-03-04,1.0151872461997071
2010-03-05,1.016022930153152
2010-03-08,1.0175103405273676
2010-03-09,1.0168427778224811
2010-03-10,1.0171091704764759
2010-03-11,1.0148705271664296
2010-03-12,1.0145214349667038
2010-03-15,1.0133841873880933
2010-03-16,1.0141895009407138
2010-03-17,1.0177744952798515
2010-03-18,1.0180658962109657
2010-03-19,1.0185336311386344
2010-03-22,1.0171788523187675
2010-03-23,1.0164271509120117
2010-03-24,1.0168747372571543
2010-03-25,1.0152298868160048
2010-03-26,1.0152005180179915
2010-03-29,1.0162008315908762
2010-03-30,1.0151671139135126
2010-03-31,1.0156747033796218
2010-04-01,1.0167468514092157
2010-04-02,1.0167671476336018
2010-04-06,1.0175078932576922
2010-04-07,1.0165759474878477
2010-04-08,1.0150022187517507
2010-04-09,1.015966382790649
2010-04-12,1.0164556657878845
2010-04-13,1.01741949330311
2010-04-14,1.0174967016542633
2010-04-15,1.0176273999363685
2010-04-16,1.017584155270582
2010-04-19,1.0163201562360387
2010-04-20,1.0178186696238818
2010-04-21,1.0189707558205814
2010-04-22,1.0192194770875969
2010-04-23,1.0195950715013828
2010-04-26,1.021658389313932
2010-04-27,1.0208231083388433
2010-04-28,1.0218006472543748
2010-04-29,1.0217847335791852
2010-04-30,1.0225443564526349
2010-05-04,1.021871754573421
2010-05-05,1.021538276965908
2010-05-06,1.020454215228416
2010-05-07,1.0239787550378319
2010-05-10,1.0239868392769091
2010-05-11,1.024052969414116
2010-05-12,1.0267906845907042
2010-05-13,1.0286380048168224
2010-05-14,1.0283749982921588
2010-05-17,1.0282047848327056
2010-05-18,1.0293134133762774
2010-05-19,1.0309821948213365
2010-05-20,1.027980821010918
2010-05-21,1.028729346910271
2010-05-24,1.0300632044060432
2010-05-25,1.0295161128349752
2010-05-26,1.030652454855095
2010-05-27,1.0311767676071122
2010-05-28,1.03087122480372
2010-05-31,1.0295698476997128
2010-06-01,1.0279264447404801
2010-06-02,1.0287907987765008
2010-06-03,1.0294384493287831
2010-06-04,1.0287883126793425
2010-06-07,1.0294249588014428
2010-06-08,1.0305663972086725
2010-06-09,1.030676817675089
2010-06-10,1.0292134921951868
2010-06-11,1.0283268195552593
2010-06-17,1.0289730028209663
2010-06-18,1.0250804423317774
2010-06-21,1.0272884963729434
2010-06-22,1.0266786064401199
2010-06-23,1.025996442366326
2010-06-24,1.0256054573622615
2010-06-25,1.0267968119575064
2010-06-28,1.0288575522641727
2010-06-29,1.027069963149765
2010-06-30,1.027856576164146
2010-07-01,1.0275746238193337
2010-07-02,1.0259499492061603
2010-07-05,1.026076090792176
2010-07-06,1.0291734201598473
2010-07-07,1.0286004830492834
2010-07-08,1.029525760535415
2010-07-09,1.0300992995258578
2010-07-12,1.03178243728644
2010-07-13,1.0327177824221927
2010-07-14,1.0343584482415067
2010-07-15,1.033484643057358
2010-07-16,1.0337129090615396
2010-07-19,1.0345154032458477
2010-07-20,1.0345806367373689
2010-07-21,1.0349000824857426
2010-07-22,1.034989452892584
2010-07-23,1.0353026511802288
2010-07-26,1.0347089932543818
2010-07-27,1.0335765647147526
2010-07-28,1.0330016276495215
2010-07-29,1.0335286149587037
2010-07-30,1.0329609332722387
2010-08-02,1.034630312042441
2010-08-03,1.0335223344203017
2010-08-04,1.0351025791157054
2010-08-05,1.0350508855378755
2010-08-06,1.0366049850037726
2010-08-09,1.0377681824204
2010-08-10,1.0361896640694905
2010-08-11,1.0372136931552003
2010-08-12,1.038411937203476
2010-08-13,1.0401076853689843
2010-08-16,1.0412809221025516
2010-08-17,1.0419709492665699
2010-08-18,1.0417321225946632
2010-08-19,1.0425206774824687
2010-08-20,1.041921527258479
2010-08-23,1.0423268183063905
2010-08-24,1.0423561569596533
2010-08-25,1.0420981913905187
2010-08-26,1.0424787708602723
2010-08-27,1.0421315303670782
2010-08-30,1.0435253919026848
2010-08-31,1.0433775034086277
2010-09-01,1.0439161706845774
2010-09-02,1.044289754716344
2010-09-03,1.044380324299437
2010-09-06,1.0447917905941322
2010-09-07,1.0439009678222124
2010-09-08,1.0444744784725997
2010-09-09,1.0428162756339976
2010-09-10,1.0415568201949283
2010-09-13,1.0409516803483672
2010-09-14,1.0409606629581007
2010-09-15,1.04059107362653
2010-09-16,1.0393472575038514
2010-09-17,1.039954235803611
2010-09-20,1.0397672664395066
2010-09-21,1.0397506441797995
2010-09-27,1.0419481102308779
2010-09-28,1.0410008214112583
2010-09-29,1.042143000463497
2010-09-30,1.0436096955553038
2010-10-08,1.0468905457478308
2010-10-11,1.0465644850930635
2010-10-12,1.0462180221013833
2010-10-13,1.0472320089845195
2010-10-14,1.0486091364757122
2010-10-15,1.049987293083025
2010-10-18,1.04916667586401
2010-10-19,1.0504210936707463
2010-10-20,1.038813969642943
2010-10-21,1.0365907561634375
2010-10-22,1.0362674542400079
2010-10-25,1.0395108267397106
2010-10-26,1.0368587964406197
2010-10-27,1.03511367958068
2010-10-28,1.0349511478971423
2010-10-29,1.0358819395055976
2010-11-01,1.038714887965763
2010-11-02,1.0358901595338863
2010-11-03,1.0313920167264912
2010-11-04,1.0309499219647624
2010-11-05,1.0327119201543113
2010-11-08,1.0337726113111185
2010-11-09,1.0343183185623304
2010-11-10,1.029303373620873
2010-11-11,1.0278910809642405
2010-11-12,1.0224612272630191
2010-11-15,1.021798922234917
2010-11-16,1.0199680772548678
2010-11-17,1.0189893691434306
2010-11-18,1.0226005327275216
2010-11-19,1.0219547567941192
2010-11-22,1.019909111973785
2010-11-23,1.017550905173433
2010-11-24,1.0183822847285482
2010-11-25,1.0185954314497907
2010-11-26,1.0159181278628333
2010-11-29,1.0163776884753501
2010-11-30,1.0164703886643607
2010-12-01,1.0211946381687418
2010-12-02,1.0231565741280038
2010-12-03,1.0229176454650135
2010-12-06,1.025519985340041
2010-12-07,1.027890168205704
2010-12-08,1.0250908855117085
2010-12-09,1.0233167369443588
2010-12-10,1.0245618751661647
2010-12-13,1.0282841191346783
2010-12-14,1.0290990663005937
2010-12-15,1.0289576862936518
2010-12-16,1.0290301418497911
2010-12-17,1.0285773195336012
2010-12-20,1.0298028476605665
2010-12-21,1.0307577357737345
2010-12-22,1.029991374796434
2010-12-23,1.0284397529226972
2010-12-24,1.027869887873767
2010-12-27,1.0231520431887682
2010-12-28,1.0214212111452272
2010-12-29,1.0232287600946652
2010-12-30,1.0243648317005956
2010-12-31,1.0264160178426636
2011-01-04,1.0296014228421466
2011-01-05,1.02979998367583
2011-01-06,1.029181258915477
2011-01-07,1.0295258655136619
2011-01-10,1.0284651053026965
2011-01-11,1.0284171930511288
2011-01-12,1.0291882950240452
2011-01-13,1.0277536998516983
2011-01-14,1.024363608444753
2011-01-17,1.0188411910381323
2011-01-18,1.0184784575888672
2011-01-19,1.020304188979437
2011-01-20,1.0171470926994592
2011-01-21,1.0165288434909525
2011-01-24,1.0159496364355562
2011-01-25,1.013109718076153
2011-01-26,1.0148168304486844
2011-01-27,1.0154214030467197
2011-01-28,1.013707323242842
2011-01-31,1.0158602680899496
2011-02-01,1.0162744911554604
2011-02-09,1.014496030573338
2011-02-10,1.0153101660290222
2011-02-11,1.0164327515906262
2011-02-14,1.0210563844799656
2011-02-15,1.021883076414837
2011-02-16,1.0233613945227102
2011-02-17,1.0238285577529962
2011-02-18,1.023436184862889
2011-02-21,1.0243554402188144
2011-02-22,1.023699335348544
2011-02-23,1.0261274720713827
2011-02-24,1.0302885370584396
2011-02-25,1.0287771802233034
2011-02-28,1.0313549340754826
2011-03-01,1.0322033588448223
2011-03-02,1.0336989141911839
2011-03-03,1.0328825205229797
2011-03-04,1.0326398176239273
2011-03-07,1.036511539050735
2011-03-08,1.0373573263968756
2011-03-09,1.0383652504605636
2011-03-10,1.036456849931979
2011-03-11,1.0343356263585726
2011-03-14,1.0366332631592474
2011-03-15,1.0360879856249243
2011-03-16,1.0362861750639782
2011-03-17,1.035881062231659
2011-03-18,1.0372398005195285
2011-03-21,1.037432399642327
2011-03-22,1.0370441071668672
2011-03-23,1.0380697072116498
2011-03-24,1.0392569982828137
2011-03-25,1.0405326030156115
2011-03-28,1.0383761916749352
2011-03-29,1.0375574533152008
2011-03-30,1.0383915872972027
