,中债-国债总财富(总值)指数,沪深300指数(全收益),SGE黄金9999
2011-06-13,0.7860591257185701,0.07427414459752875,0.13966672968390118
2011-06-20,0.7832870983022794,0.07555367139615213,0.14115923030156857
2011-06-27,0.778292564538532,0.07679422813267832,0.14491320732878965
2011-07-04,0.780044127209035,0.07603817515707735,0.1439176976338877
2011-07-11,0.7802449518367085,0.0758253092605541,0.14392973890273747
2011-07-18,0.7770341688501807,0.07700518552249686,0.14596064562732244
2011-07-25,0.7748013726150061,0.07813544531770722,0.1470631820672867
2011-08-01,0.7740428315306859,0.07857009104122177,0.14738707742809232
2011-08-08,0.7758857834974707,0.07924402289811698,0.14487019360441233
2011-08-15,0.7769901789914264,0.08033430340830652,0.14267551760026706
2011-08-22,0.7820253882248669,0.0810143592150153,0.1369602525601178
2011-08-29,0.7875660206403652,0.08403872241329223,0.1283952569463426
2011-09-05,0.787894596408822,0.08492778260341023,0.12717762098776772
2011-09-13,0.7913171870568602,0.08620536200476113,0.1224774509383787
2011-09-19,0.7935269468993407,0.08640696807499276,0.1200660850256665
2011-09-26,0.8031102456216916,0.08937849873545238,0.10751125564285598
2011-10-10,0.7981721326684735,0.09356064316289779,0.10826722416862875
2011-10-17,0.7976286054250455,0.09311128738968955,0.10926010718526499
2011-10-24,0.7977870464452863,0.09382907955482672,0.10838387399988694
2011-10-31,0.8141066785533981,0.08696024003802968,0.0989330814085722
2011-11-07,0.8136135152840553,0.08747731338247741,0.09890917133346723
2011-11-14,0.8120193741084561,0.08844723563099192,0.09953339026055186
2011-11-21,0.814038385310052,0.08726470533730467,0.09869690935264316
2011-11-28,0.8102783904324974,0.09226952936025887,0.09745208020724369
2011-12-05,0.8060387773865239,0.09388179927583427,0.1000794233376418
2011-12-12,0.8085713375915428,0.09323518219367215,0.09819348021478512
2011-12-19,0.8126308904032202,0.09208790596414443,0.09528120363263536
2011-12-26,0.8124414900586048,0.09290347358590546,0.0946550363554897
2012-01-04,0.8139959602984453,0.0930531562919637,0.09295088340959097
2012-01-09,0.8172390146139655,0.09101175898914478,0.09174922639688964
2012-01-16,0.8182173901997989,0.09027620452540194,0.09150640527479935
2012-01-30,0.8230636403508678,0.08680178349017349,0.09013457615895884
2012-02-06,0.823853956013478,0.08684805948422855,0.08929798450229337
2012-02-13,0.8225424039755648,0.0877154157333878,0.08974218029104737
2012-02-20,0.821288463813168,0.08846532680298451,0.09024620938384753
2012-02-27,0.8229820274008789,0.08812657663407536,0.08889139596504576
2012-03-05,0.824080547621666,0.08869341184111341,0.08722604053722062
2012-03-12,0.8274266729739326,0.08703310470091748,0.08554022232514992
2012-03-19,0.8283073801455114,0.08642632550192231,0.08526629435256622
2012-03-26,0.8292512239855666,0.08605438872098677,0.08469438729344671
2012-04-05,0.8310626965648017,0.08492198078357749,0.08401532265162084
2012-04-09,0.8309943194099276,0.08502562142117909,0.08398005916889333
2012-04-16,0.831374533091673,0.08483304472232023,0.08379242218600678
2012-04-23,0.8314401186082458,0.08457031113867548,0.08398957025307854
2012-05-02,0.8320412072004801,0.08403467830269759,0.08392411449682229
2012-05-07,0.8318316806852878,0.08427172907623674,0.08389659023847541
2012-05-14,0.8297844255621883,0.0854956725843735,0.08471990185343813
2012-05-21,0.8250121110142253,0.08803027196898197,0.08695761701679265
2012-05-28,0.8224120857292823,0.08904403129360178,0.08854388297711602
2012-06-04,0.8240143507541243,0.08867729286121032,0.08730835638466529
2012-06-11,0.8219721281612913,0.0906037174771257,0.08742415436158314
2012-06-18,0.8211303403628027,0.09124139227429479,0.08762826736290241
2012-06-25,0.8218880737303482,0.09085701273888513,0.08725491353076673
2012-07-02,0.823613723254775,0.09015417571217098,0.08623210103305398
2012-07-09,0.8259010344783612,0.08907208860276954,0.08502687691886944
2012-07-16,0.8262218146438376,0.08879238213715111,0.08498580321901131
2012-07-23,0.8259598030725952,0.08898432805297728,0.08505586887442748
2012-07-30,0.8256148109243879,0.0893355004751962,0.08504968860041581
2012-08-06,0.8302726659398838,0.08664083089828996,0.08308650316182628
2012-08-13,0.8289032871562594,0.08756692341616946,0.08352978942757124
2012-08-20,0.8296801141012522,0.08703391523582354,0.0832859706629241
2012-08-27,0.8279196019095152,0.08785898567528064,0.08422141241520419
2012-09-03,0.8268723968582066,0.08804643478749313,0.08508116835430034
2012-09-10,0.8238401986262587,0.08755647274784481,0.08860332862589648
2012-09-17,0.828575682886353,0.08473513747004255,0.08668917964360444
2012-09-24,0.8272767855652357,0.08457481455765553,0.0881483998771089
2012-10-08,0.8268936204497688,0.0833263742162897,0.08978000533394155
2012-10-15,0.8215721482776784,0.0807718789532699,0.09765597276905161
2012-10-22,0.8282132758780305,0.0758563916209195,0.09593033250105
2012-10-29,0.828911872885589,0.07591038624180244,0.09517774087260857
2012-11-05,0.8279503774159883,0.07685198765262714,0.0951976349313846
2012-11-12,0.8275475310287606,0.07667990110788817,0.09577256786335119
2012-11-19,0.8283842608368847,0.07603727960627568,0.09557845955683969
2012-11-26,0.8359223802168971,0.0726192694544232,0.09145835032867965
2012-12-03,0.8378624533760178,0.0717832986233227,0.09035424800065937
2012-12-10,0.8401165820944679,0.06937069956390605,0.09051271834162601
2012-12-17,0.8564464271577554,0.0619243051069343,0.08162926773531039
2012-12-24,0.8565754188823028,0.06179982942381214,0.08162475169388504
2013-01-04,0.8511884433058344,0.06179989418824662,0.08701166250591891
2013-01-07,0.8505084022226455,0.062059231267829466,0.08743236650952517
2013-01-14,0.8510190315275903,0.061104470012559246,0.08787649845985045
2013-01-21,0.8484787411125061,0.060730604211155,0.09079065467633886
2013-01-28,0.8474736367484293,0.06168384184547709,0.09084252140609356
2013-02-04,0.8458287756849482,0.06379302302451965,0.09037820129053217
2013-02-18,0.844564526462641,0.0640349164892965,0.09140055704806248
2013-02-25,0.8476504567552702,0.06283474800699175,0.08951479523773817
2013-03-04,0.8506315075164947,0.060144330450947095,0.08922416203255815
2013-03-11,0.8516973205328326,0.05925555990530999,0.0890471195618574
2013-03-18,0.8495785311022986,0.058564831931166905,0.0918566369665345
2013-03-25,0.8493710683682888,0.05795257869072719,0.09267635294098417
2013-04-01,0.8487932323490561,0.05772377447566499,0.09348299317527875
2013-04-08,0.8490342145242812,0.05819579229470768,0.09276999318101123
2013-04-15,0.8581268199097287,0.05945829521370933,0.0824148848765619
2013-04-22,0.8616934911978531,0.06054973746695023,0.07775677133519668
2013-05-02,0.8623779552025561,0.060299620597401134,0.07732242420004287
2013-05-06,0.8623610408869209,0.060482286290280546,0.0771566728227986
